,actor,movie,predict
0,AdamWilliams,north-by-northwest,1
1,CaryGrant,north-by-northwest,1
2,EdwardPlatt,north-by-northwest,1
3,EvaMarieSaint,north-by-northwest,1
4,JamesMason,north-by-northwest,1
5,JessieRoyceLandis,north-by-northwest,1
6,JosephineHutchinson,north-by-northwest,1
7,LeoG.Carroll,north-by-northwest,1
8,MartinLandau,north-by-northwest,1
9,PhilipOber,north-by-northwest,1
10,ToshirôMifune,seven-samurai-re-release,3
11,AlfredAbel,metropolis-re-release,3
12,BrigitteHelm,metropolis-re-release,3
13,BenJohnson,the-wild-bunch,1
14,EdmondO'Brien,the-wild-bunch,1
15,EmilioFernández,the-wild-bunch,1
16,ErnestBorgnine,the-wild-bunch,1
17,JaimeSánchez,the-wild-bunch,1
18,L.Q.Jones,the-wild-bunch,1
19,RobertRyan,the-wild-bunch,1
20,StrotherMartin,the-wild-bunch,1
21,WarrenOates,the-wild-bunch,1
22,WilliamHolden,the-wild-bunch,1
23,ErrolFlynn,the-adventures-of-robin-hood-re-release,1
24,OliviadeHavilland,the-adventures-of-robin-hood-re-release,1
25,Ah-Tsai,dragon-inn-1967,1
26,ChiehLi,dragon-inn-1967,1
27,ChienTsao,dragon-inn-1967,1
28,ChuLiu,dragon-inn-1967,1
29,ChunShih,dragon-inn-1967,1
30,FeiKao,dragon-inn-1967,1
31,FengHsu,dragon-inn-1967,1
32,HanHsieh,dragon-inn-1967,1
33,HsiaoPaoKo,dragon-inn-1967,1
34,LingfengShangguan,dragon-inn-1967,1
35,MingKao,dragon-inn-1967,1
36,ShihLu,dragon-inn-1967,1
37,SimonHsu,dragon-inn-1967,1
38,YingBai,dragon-inn-1967,1
39,Ying-ChiehHan,dragon-inn-1967,1
40,AkiraTerao,ran,4
41,DaisukeRyû,ran,4
42,JinpachiNezu,ran,4
43,TatsuyaNakadai,ran,4
44,AnthonyMackie,the-hurt-locker,4
45,BrianGeraghty,the-hurt-locker,4
46,JeremyRenner,the-hurt-locker,4
47,ChrisPratt,zero-dark-thirty,4
48,ÉdgarRamírez,zero-dark-thirty,4
49,JasonClarke,zero-dark-thirty,4
50,JenniferEhle,zero-dark-thirty,4
51,JessicaChastain,zero-dark-thirty,4
52,JoelEdgerton,zero-dark-thirty,4
53,MarkStrong,zero-dark-thirty,4
54,AneurinBarnard,dunkirk,4
55,BarryKeoghan,dunkirk,4
56,DamienBonnard,dunkirk,4
57,FionnWhitehead,dunkirk,4
58,HarryStyles,dunkirk,4
59,JackLowden,dunkirk,4
60,JamesBloor,dunkirk,4
61,LeeArmstrong,dunkirk,4
62,MarkRylance,dunkirk,4
63,TomGlynn-Carney,dunkirk,4
64,TomHardy,dunkirk,4
65,TomHardy,mad-max-fury-road,4
66,MarlonBrando,apocalypse-now,4
67,MarlonBrando,apocalypse-now-redux,4
68,MartinSheen,apocalypse-now,4
69,MartinSheen,apocalypse-now-redux,4
70,AndySerkis,the-lord-of-the-rings-the-return-of-the-king,3
71,AndySerkis,the-lord-of-the-rings-the-fellowship-of-the-ring,3
72,AndySerkis,black-panther,3
73,AndySerkis,the-lord-of-the-rings-the-two-towers,3
74,OrlandoBloom,the-lord-of-the-rings-the-return-of-the-king,1
75,AnnRebbot,the-french-connection,2
76,ArleneFarber,the-french-connection,2
77,BillHickman,the-french-connection,2
78,FernandoRey,the-french-connection,2
79,FrédéricdePasquale,the-french-connection,2
80,GeneHackman,the-french-connection,2
81,HaroldGary,the-french-connection,2
82,MarcelBozzuffi,the-french-connection,2
83,RoyScheider,the-french-connection,2
84,TonyLoBianco,the-french-connection,2
85,MichelleYeoh,crouching-tiger-hidden-dragon,3
86,Yun-FatChow,crouching-tiger-hidden-dragon,3
87,ZiyiZhang,crouching-tiger-hidden-dragon,3
88,ZiyiZhang,house-of-flying-daggers,3
89,AngieDickinson,rio-bravo,0
90,ClaudeAkins,rio-bravo,0
91,DeanMartin,rio-bravo,0
92,EstelitaRodriguez,rio-bravo,0
93,JohnRussell,rio-bravo,0
94,JohnWayne,rio-bravo,0
95,PedroGonzalezGonzalez,rio-bravo,0
96,RickyNelson,rio-bravo,0
97,WalterBrennan,rio-bravo,0
98,WardBond,rio-bravo,0
99,ElijahWood,the-lord-of-the-rings-the-fellowship-of-the-ring,1
100,MattDamon,saving-private-ryan,4
101,TomHanks,saving-private-ryan,4
102,CraigT.Nelson,the-incredibles,1
103,HollyHunter,the-incredibles,1
104,JasonLee,the-incredibles,1
105,SamuelL.Jackson,the-incredibles,1
106,AndrewRobinson,dirty-harry,2
107,ClintEastwood,dirty-harry,2
108,HarryGuardino,dirty-harry,2
109,JohnLarch,dirty-harry,2
110,JohnMitchum,dirty-harry,2
111,JohnVernon,dirty-harry,2
112,LynEdgington,dirty-harry,2
113,MaeMercer,dirty-harry,2
114,ReniSantoni,dirty-harry,2
115,RuthKobart,dirty-harry,2
116,CharlizeTheron,mad-max-fury-road,3
117,JohnHoward,mad-max-fury-road,3
118,NathanJones,mad-max-fury-road,3
119,NicholasHoult,mad-max-fury-road,3
120,RileyKeough,mad-max-fury-road,3
121,ZoëKravitz,mad-max-fury-road,3
122,CarrieFisher,star-wars-episode-iv---a-new-hope,3
123,HarrisonFord,star-wars-episode-iv---a-new-hope,3
124,HarrisonFord,the-fugitive,3
125,MarkHamill,star-wars-episode-iv---a-new-hope,3
126,AndyLau,house-of-flying-daggers,3
127,TakeshiKaneshiro,house-of-flying-daggers,3
128,EthanHawke,assault-on-precinct-13,2
129,LaurenceFishburne,assault-on-precinct-13,2
130,AdityaKumar,gangs-of-wasseypur,2
131,HumaQureshi,gangs-of-wasseypur,2
132,JaideepAhlawat,gangs-of-wasseypur,2
133,JameelKhan,gangs-of-wasseypur,2
134,ManojBajpai,gangs-of-wasseypur,2
135,Nowaz,gangs-of-wasseypur,2
136,PiyushMishra,gangs-of-wasseypur,2
137,RajKumarYadav,gangs-of-wasseypur,2
138,RichaChadda,gangs-of-wasseypur,2
139,SankalpAcharekar,gangs-of-wasseypur,2
140,SatyakamAnand,gangs-of-wasseypur,2
141,TigmanshuDhulia,gangs-of-wasseypur,2
142,VineetSingh,gangs-of-wasseypur,2
143,VipinSharma,gangs-of-wasseypur,2
144,ZeishanQuadri,gangs-of-wasseypur,2
145,EveMcVeagh,high-noon,0
146,GaryCooper,high-noon,0
147,GraceKelly,high-noon,0
148,HarryMorgan,high-noon,0
149,IanMacdonald,high-noon,0
150,KatyJurado,high-noon,0
151,LloydBridges,high-noon,0
152,LonChaneyJr.,high-noon,0
153,OttoKruger,high-noon,0
154,ThomasMitchell,high-noon,0
155,AngelaBassett,black-panther,3
156,ChadwickBoseman,black-panther,3
157,DanaiGurira,black-panther,3
158,DanielKaluuya,black-panther,3
159,ForestWhitaker,black-panther,3
160,LetitiaWright,black-panther,3
161,LupitaNyong'o,black-panther,3
162,MartinFreeman,black-panther,3
163,MichaelB.Jordan,black-panther,3
164,StanLee,black-panther,3
165,SterlingK.Brown,black-panther,3
166,WinstonDuke,black-panther,3
167,TommyLeeJones,the-fugitive,2
168,GertFröbe,goldfinger,1
169,HonorBlackman,goldfinger,1
170,SeanConnery,goldfinger,1
